,DATE,PCND,DFND,PCSV,DFSV,nd.real,sv.real,c.real,c.lag,c.g
222,01-04-2002,1609.535,74.874,4715.179,76.832,21.49658092,61.36998907,82.86656999,82.45778012,0.004945318
223,01-07-2002,1616.722,75.082,4772.501,77.422,21.53275086,61.64269846,83.17544932,82.86656999,0.0037205
224,01-10-2002,1641.855,75.347,4839.789,77.992,21.79058224,62.05494153,83.84552377,83.17544932,0.008023879
225,01-01-2003,1682.801,76.607,4898.444,78.606,21.96667406,62.31641351,84.28308757,83.84552377,0.00520512
226,01-04-2003,1670.079,75.424,4964.702,79.232,22.14254084,62.66031401,84.80285485,84.28308757,0.006147985
227,01-07-2003,1724.47,76.468,5036.326,79.784,22.55152482,63.12451118,85.676036,84.80285485,0.010243952
228,01-10-2003,1741.837,76.797,5102.574,80.385,22.68105525,63.47669341,86.15774866,85.676036,0.005606743
229,01-01-2004,1779.005,77.839,5184.511,81.058,22.85493133,63.96050976,86.81544109,86.15774866,0.007604596
230,01-04-2004,1803.006,78.573,5264.027,81.668,22.94689015,64.45642112,87.40331127,86.81544109,0.00674867
231,01-07-2004,1826.294,79.022,5353.003,82.27,23.11120954,65.06628176,88.17749129,87.40331127,0.008818561
232,01-10-2004,1877.483,80.417,5441.024,82.835,23.34684209,65.68508481,89.03192689,88.17749129,0.009643305
233,01-01-2005,1891.983,80.283,5521.008,83.648,23.56642128,66.00286917,89.56929045,89.03192689,0.006017486
234,01-04-2005,1919.496,80.812,5614.014,84.259,23.752611,66.62806347,90.38067447,89.56929045,0.009017946
235,01-07-2005,1986.031,83.303,5711.358,84.888,23.84105014,67.2810998,91.12214994,90.38067447,0.008170447
236,01-10-2005,2019.741,83.546,5810.399,85.867,24.1751969,67.66742753,91.84262443,91.12214994,0.007875595
237,01-01-2006,2042.714,83.64,5893.81,86.579,24.42269249,68.07435983,92.49705232,91.84262443,0.007100269
238,01-04-2006,2076.844,84.865,5984.152,87.294,24.47232664,68.55169886,93.02402549,92.49705232,0.005681021
239,01-07-2006,2112.905,85.846,6059.592,87.99,24.61273676,68.86682578,93.47956254,93.02402549,0.004885031
240,01-10-2006,2092.827,83.865,6145.204,88.581,24.95471293,69.37383863,94.32855157,93.47956254,0.009041088
241,01-01-2007,2129.103,85.03,6241.307,89.533,25.03943314,69.70957077,94.74900391,94.32855157,0.004447414
242,01-04-2007,2166.108,86.691,6292.939,90.13,24.98653839,69.82069233,94.80723073,94.74900391,0.000614349
243,01-07-2007,2188.151,87.298,6373.789,90.807,25.06530505,70.19050293,95.25580798,94.80723073,0.004720308
